id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1426743184034390017	1426743179097776132	2021-08-15 10:10:57 WIB	2021-08-15	10:10:57	+0700	1396024546105327624	gilamedsos	Gila Medsos		disiplin prokes yuk! .. Mengingatkan, Yuk Vaksin, Vaksinasi Selamatkan Indonesia  https://t.co/KQHNHYugzk	in	[]	[]	['https://pbs.twimg.com/media/E8zObSEVIAQgCu5.jpg']	1	0	0	[]	[]	https://twitter.com/GilaMedsos/status/1426743184034390017	False		1	https://pbs.twimg.com/media/E8zObSEVIAQgCu5.jpg							[]				
1426743179097776132	1426743179097776132	2021-08-15 10:10:56 WIB	2021-08-15	10:10:56	+0700	1396024546105327624	gilamedsos	Gila Medsos		Kebijakan penerapan ppkm level 4 .. Mengingatkan, Yuk Vaksin, Vaksinasi Selamatkan Indonesia  https://t.co/W5uZQoPsem	in	[]	[]	['https://pbs.twimg.com/media/E8zOXzNVUAwTG_R.jpg']	1	0	0	[]	[]	https://twitter.com/GilaMedsos/status/1426743179097776132	False		1	https://pbs.twimg.com/media/E8zOXzNVUAwTG_R.jpg							[]				
1426743076618260484	1426743076618260484	2021-08-15 10:10:31 WIB	2021-08-15	10:10:31	+0700	1399977500772507648	hanafarhaanaa	Hana Farhana		Mari kita dukung aparat keamanan tindak tegas provokator penyebar isu vaksin dan covid-19. Vaksinasi Selamatkan Indonesia  https://t.co/bissyW7RfH	in	[]	[]	['https://pbs.twimg.com/media/E8zPGQIVcAQFksn.jpg']	0	0	0	[]	[]	https://twitter.com/HanaFarhaanaa/status/1426743076618260484	False		1	https://pbs.twimg.com/media/E8zPGQIVcAQFksn.jpg							[]				
1426743072335876103	1426713458729385985	2021-08-15 10:10:30 WIB	2021-08-15	10:10:30	+0700	1396021886413283335	alonecool3	alonecool		@AriNazila_ Yuks kita Dukung  vaksinasi Covid-19 untuk penyandang disabilitas di Indonesia.  #VaksinUntukDifabel  ¶a	in	[]	[]	[]	1	1	3	['vaksinuntukdifabel']	[]	https://twitter.com/alonecool3/status/1426743072335876103	False		0								[{'screen_name': 'AriNazila_', 'name': 'Arin Nazila', 'id': '1236943771272503298'}]				
1426743065398497282	1426544245465182210	2021-08-15 10:10:29 WIB	2021-08-15	10:10:29	+0700	869740835952250881	wanmh84	Negative 🇲🇾		@SanusiMNor Memperhebatkan program vaksinasi jangkau komuniti luar bandar melalui kerjasama dengan pelbagai Kementerian di peringkat negeri kepada golongan sasaran mengikut sektor.	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/WANMH84/status/1426743065398497282	False		0								[{'screen_name': 'SanusiMNor', 'name': 'Muhammad Sanusi Md Nor', 'id': '1421229721'}]				
1426743048222826500	1426720209386102787	2021-08-15 10:10:24 WIB	2021-08-15	10:10:24	+0700	1236943771272503298	arinazila_	Arin Nazila		@alonecool3 Vaksinasi utk Indonesia sehat Indonesia Hebat.  #VaksinUntukDifabel  https://t.co/GlQmtceeyG	in	[]	[]	['https://pbs.twimg.com/media/E8zPMFxUUAMA8Tj.jpg']	0	0	1	['vaksinuntukdifabel']	[]	https://twitter.com/AriNazila_/status/1426743048222826500	False		1	https://pbs.twimg.com/media/E8zPMFxUUAMA8Tj.jpg							[{'screen_name': 'alonecool3', 'name': 'alonecool', 'id': '1396021886413283335'}]				
1426743015977021442	1426729485651517441	2021-08-15 10:10:17 WIB	2021-08-15	10:10:17	+0700	955073382	ssaravs	s saravanan 🏴🏴		@MadiAzmadi Aik.. perancangan awal.... 9.9 juta lengkap pd penghujung Ogos (data dari graf yg dikongsi). Sehingga semlm ... 10.4 juta telah lengkap vaksinasi... itu bukan perbandingan ke? Then it's a misleading way of presenting data	in	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/ssaravs/status/1426743015977021442	False		0								[{'screen_name': 'MadiAzmadi', 'name': 'Madi Azmadi 🇲🇾🌺', 'id': '299543047'}]				
1426742997715087368	1426714111853817861	2021-08-15 10:10:12 WIB	2021-08-15	10:10:12	+0700	1396021886413283335	alonecool3	alonecool		@PGekyun Yuks kita Dukung  vaksinasi Covid-19 untuk penyandang disabilitas di Indonesia.  #VaksinUntukDifabel  ¶S	in	[]	[]	[]	0	1	2	['vaksinuntukdifabel']	[]	https://twitter.com/alonecool3/status/1426742997715087368	False		0								[{'screen_name': 'PGekyun', 'name': 'Agung puspadewi', 'id': '1402576028141191173'}]				
1426742964206800900	1426742964206800900	2021-08-15 10:10:04 WIB	2021-08-15	10:10:04	+0700	1354324218897293312	terpesonna1	Terpesonna		Buwas Pastikan Penyaluran Beras Bansos PPKM Tahap II Kelar 20 Agustus   Vaksinasi Selamatkan Indonesia  https://t.co/JC1ulKnNy3	in	[]	['https://bisnis.tempo.co/read/1493728/buwas-pastikan-penyaluran-beras-bansos-ppkm-tahap-ii-kelar-20-agustus']	[]	0	0	0	[]	[]	https://twitter.com/Terpesonna1/status/1426742964206800900	False		0								[]				
1426742953528107010	1426742945646927873	2021-08-15 10:10:02 WIB	2021-08-15	10:10:02	+0700	1410244252680953858	salawaku12	Salawaku		Anggota DPR: Aksi kekerasan KKB merupakan pelanggaran HAM. Vaksinasi Selamatkan Indonesia  https://t.co/6t8Tc3beiv	in	[]	['https://www.antaranews.com/berita/2122950/anggota-dpr-aksi-kekerasan-kkb-merupakan-pelanggaran-ham']	[]	0	0	0	[]	[]	https://twitter.com/Salawaku12/status/1426742953528107010	False		0								[]				
